pick,round,team_key,player_key
1,1,414.l.1077375.t.6,414.p.30423
2,1,414.l.1077375.t.7,414.p.30154
3,1,414.l.1077375.t.8,414.p.30977
4,1,414.l.1077375.t.2,414.p.27581
5,1,414.l.1077375.t.10,414.p.29279
6,1,414.l.1077375.t.9,414.p.30123
7,1,414.l.1077375.t.4,414.p.30121
8,1,414.l.1077375.t.5,414.p.31833
9,1,414.l.1077375.t.1,414.p.32687
10,1,414.l.1077375.t.3,414.p.32711
11,2,414.l.1077375.t.3,414.p.28534
12,2,414.l.1077375.t.1,414.p.30972
13,2,414.l.1077375.t.5,414.p.25785
14,2,414.l.1077375.t.4,414.p.30161
15,2,414.l.1077375.t.9,414.p.33412
16,2,414.l.1077375.t.10,414.p.32705
17,2,414.l.1077375.t.2,414.p.30180
18,2,414.l.1077375.t.8,414.p.26686
19,2,414.l.1077375.t.7,414.p.30295
20,2,414.l.1077375.t.6,414.p.27535
21,3,414.l.1077375.t.6,414.p.33423
22,3,414.l.1077375.t.7,414.p.32671
23,3,414.l.1077375.t.8,414.p.32723
24,3,414.l.1077375.t.2,414.p.29399
25,3,414.l.1077375.t.10,414.p.31056
26,3,414.l.1077375.t.9,414.p.31005
27,3,414.l.1077375.t.4,414.p.33392
28,3,414.l.1077375.t.5,414.p.32692
29,3,414.l.1077375.t.1,414.p.29369
30,3,414.l.1077375.t.3,414.p.5228
31,4,414.l.1077375.t.3,414.p.7200
32,4,414.l.1077375.t.1,414.p.32725
33,4,414.l.1077375.t.5,414.p.32722
34,4,414.l.1077375.t.4,414.p.31883
35,4,414.l.1077375.t.9,414.p.30117
36,4,414.l.1077375.t.10,414.p.32704
37,4,414.l.1077375.t.2,414.p.9265
38,4,414.l.1077375.t.8,414.p.29238
39,4,414.l.1077375.t.7,414.p.32703
40,4,414.l.1077375.t.6,414.p.25812
41,5,414.l.1077375.t.6,414.p.30259
42,5,414.l.1077375.t.7,414.p.30218
43,5,414.l.1077375.t.8,414.p.26699
44,5,414.l.1077375.t.2,414.p.31908
45,5,414.l.1077375.t.10,414.p.33413
46,5,414.l.1077375.t.9,414.p.30182
47,5,414.l.1077375.t.4,414.p.31002
48,5,414.l.1077375.t.5,414.p.28592
49,5,414.l.1077375.t.1,414.p.30994
50,5,414.l.1077375.t.3,414.p.27564
51,6,414.l.1077375.t.3,414.p.31898
52,6,414.l.1077375.t.1,414.p.32676
53,6,414.l.1077375.t.5,414.p.33991
54,6,414.l.1077375.t.4,414.p.30120
55,6,414.l.1077375.t.9,414.p.31010
56,6,414.l.1077375.t.10,414.p.33391
57,6,414.l.1077375.t.2,414.p.31104
58,6,414.l.1077375.t.8,414.p.33582
59,6,414.l.1077375.t.7,414.p.33389
60,6,414.l.1077375.t.6,414.p.31905
61,7,414.l.1077375.t.6,414.p.27589
62,7,414.l.1077375.t.7,414.p.30175
63,7,414.l.1077375.t.8,414.p.31856
64,7,414.l.1077375.t.2,414.p.29281
65,7,414.l.1077375.t.10,414.p.32732
66,7,414.l.1077375.t.9,414.p.31107
67,7,414.l.1077375.t.4,414.p.31896
68,7,414.l.1077375.t.5,414.p.32685
69,7,414.l.1077375.t.1,414.p.31019
70,7,414.l.1077375.t.3,414.p.33500
71,8,414.l.1077375.t.3,414.p.31919
72,8,414.l.1077375.t.1,414.p.34063
73,8,414.l.1077375.t.5,414.p.28392
74,8,414.l.1077375.t.4,414.p.32702
75,8,414.l.1077375.t.9,414.p.32798
76,8,414.l.1077375.t.10,414.p.33393
77,8,414.l.1077375.t.2,414.p.33399
78,8,414.l.1077375.t.8,414.p.27548
79,8,414.l.1077375.t.7,414.p.26650
80,8,414.l.1077375.t.6,414.p.32675
81,9,414.l.1077375.t.6,414.p.31960
82,9,414.l.1077375.t.7,414.p.31868
83,9,414.l.1077375.t.8,414.p.32736
84,9,414.l.1077375.t.2,414.p.31840
85,9,414.l.1077375.t.10,414.p.8780
86,9,414.l.1077375.t.9,414.p.100002
87,9,414.l.1077375.t.4,414.p.28389
88,9,414.l.1077375.t.5,414.p.31885
89,9,414.l.1077375.t.1,414.p.31268
90,9,414.l.1077375.t.3,414.p.33508
91,10,414.l.1077375.t.3,414.p.31981
92,10,414.l.1077375.t.1,414.p.30997
93,10,414.l.1077375.t.5,414.p.28457
94,10,414.l.1077375.t.4,414.p.31857
95,10,414.l.1077375.t.9,414.p.26534
96,10,414.l.1077375.t.10,414.p.32695
97,10,414.l.1077375.t.2,414.p.27277
98,10,414.l.1077375.t.8,414.p.31906
99,10,414.l.1077375.t.7,414.p.31928
100,10,414.l.1077375.t.6,414.p.33403
101,11,414.l.1077375.t.6,414.p.31017
102,11,414.l.1077375.t.7,414.p.33415
103,11,414.l.1077375.t.8,414.p.30197
104,11,414.l.1077375.t.2,414.p.33495
105,11,414.l.1077375.t.10,414.p.32843
106,11,414.l.1077375.t.9,414.p.26652
107,11,414.l.1077375.t.4,414.p.31902
108,11,414.l.1077375.t.5,414.p.33398
109,11,414.l.1077375.t.1,414.p.29235
110,11,414.l.1077375.t.3,414.p.33963
111,12,414.l.1077375.t.3,414.p.30199
112,12,414.l.1077375.t.1,414.p.33966
113,12,414.l.1077375.t.5,414.p.33422
114,12,414.l.1077375.t.4,414.p.25718
115,12,414.l.1077375.t.9,414.p.34007
116,12,414.l.1077375.t.10,414.p.31838
117,12,414.l.1077375.t.2,414.p.30115
118,12,414.l.1077375.t.8,414.p.28403
119,12,414.l.1077375.t.7,414.p.34019
120,12,414.l.1077375.t.6,414.p.33394
121,13,414.l.1077375.t.6,414.p.26658
122,13,414.l.1077375.t.7,414.p.31934
123,13,414.l.1077375.t.8,414.p.100027
124,13,414.l.1077375.t.2,414.p.33537
125,13,414.l.1077375.t.10,414.p.30247
126,13,414.l.1077375.t.9,414.p.33996
127,13,414.l.1077375.t.4,414.p.26664
128,13,414.l.1077375.t.5,414.p.31164
129,13,414.l.1077375.t.1,414.p.30971
130,13,414.l.1077375.t.3,414.p.33408
131,14,414.l.1077375.t.3,414.p.31012
132,14,414.l.1077375.t.1,414.p.100025
133,14,414.l.1077375.t.5,414.p.34107
134,14,414.l.1077375.t.4,414.p.33973
135,14,414.l.1077375.t.9,414.p.33138
136,14,414.l.1077375.t.10,414.p.33455
137,14,414.l.1077375.t.2,414.p.100018
138,14,414.l.1077375.t.8,414.p.30125
139,14,414.l.1077375.t.7,414.p.100011
140,14,414.l.1077375.t.6,414.p.100033
141,15,414.l.1077375.t.6,414.p.27540
142,15,414.l.1077375.t.7,414.p.34088
143,15,414.l.1077375.t.8,414.p.32858
144,15,414.l.1077375.t.2,414.p.32713
145,15,414.l.1077375.t.10,414.p.100007
146,15,414.l.1077375.t.9,414.p.32719
147,15,414.l.1077375.t.4,414.p.33443
148,15,414.l.1077375.t.5,414.p.100014
149,15,414.l.1077375.t.1,414.p.32788
150,15,414.l.1077375.t.3,414.p.31144
151,16,414.l.1077375.t.3,414.p.31074
152,16,414.l.1077375.t.1,414.p.30346
153,16,414.l.1077375.t.5,414.p.31977
154,16,414.l.1077375.t.4,414.p.31137
155,16,414.l.1077375.t.9,414.p.28390
156,16,414.l.1077375.t.10,414.p.30157
157,16,414.l.1077375.t.2,414.p.28402
158,16,414.l.1077375.t.8,414.p.33975
159,16,414.l.1077375.t.7,414.p.29288
160,16,414.l.1077375.t.6,414.p.27120
161,17,414.l.1077375.t.6,414.p.34009
162,17,414.l.1077375.t.7,414.p.34095
163,17,414.l.1077375.t.8,414.p.24793
164,17,414.l.1077375.t.2,414.p.31031
165,17,414.l.1077375.t.10,414.p.8432
166,17,414.l.1077375.t.9,414.p.34042
167,17,414.l.1077375.t.4,414.p.33971
168,17,414.l.1077375.t.5,414.p.26662
169,17,414.l.1077375.t.1,414.p.100021
170,17,414.l.1077375.t.3,414.p.9520
171,18,414.l.1077375.t.3,414.p.100009
172,18,414.l.1077375.t.1,414.p.34008
173,18,414.l.1077375.t.5,414.p.30142
174,18,414.l.1077375.t.4,414.p.100024
175,18,414.l.1077375.t.9,414.p.34047
176,18,414.l.1077375.t.10,414.p.33390
177,18,414.l.1077375.t.2,414.p.26813
178,18,414.l.1077375.t.8,414.p.29269
179,18,414.l.1077375.t.7,414.p.31538
180,18,414.l.1077375.t.6,414.p.31051
