team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
2 Gurleys 1 Kupp,2,Julio Jones,WR,TB,BN,Out,Knee,414.p.24793,2022-09-18,4.0
2 Gurleys 1 Kupp,3,Julio Jones,WR,TB,BN,Out,Knee,414.p.24793,2022-09-26,4.0
2 Gurleys 1 Kupp,4,Julio Jones,WR,TB,BN,Questionable,Undisclosed,414.p.24793,2022-10-05,2.0
2 Gurleys 1 Kupp,5,Julio Jones,WR,TB,BN,Out,Knee,414.p.24793,2022-10-10,4.0
2 Gurleys 1 Kupp,6,Julio Jones,WR,TB,IR,Out,Knee,414.p.24793,2022-10-18,4.0
Djeango,4,Russell Wilson,QB,Den,QB,Questionable,Shoulder,414.p.25785,2022-10-05,2.0
Djeango,5,Russell Wilson,QB,Den,QB,Questionable,Shoulder,414.p.25785,2022-10-12,2.0
Djeango,6,Russell Wilson,QB,Den,BN,Questionable,Hamstring,414.p.25785,2022-10-19,2.0
Toney! Toni! Toné!,1,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-09-14,
Toney! Toni! Toné!,2,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-09-21,
Toney! Toni! Toné!,3,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-09-28,
Toney! Toni! Toné!,4,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-10-05,
Toney! Toni! Toné!,5,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-10-12,
Toney! Toni! Toné!,6,DeAndre Hopkins,WR,Ari,BN,Suspended,Disciplinary,414.p.26650,2022-10-16,
Hit Me With Your Prescott,4,Cordarrelle Patterson,RB,Atl,BN,Injured Reserve,Knee,414.p.26652,2022-10-05,5.0
Hit Me With Your Prescott,5,Cordarrelle Patterson,RB,Atl,IR,Injured Reserve,Knee,414.p.26652,2022-10-12,5.0
Hit Me With Your Prescott,6,Cordarrelle Patterson,RB,Atl,IR,Injured Reserve,Knee,414.p.26652,2022-10-19,5.0
2 Gurleys 1 Kupp,1,Keenan Allen,WR,LAC,WR,Questionable,Hamstring,414.p.26699,2022-09-14,2.0
2 Gurleys 1 Kupp,2,Keenan Allen,WR,LAC,IR,Out,Hamstring,414.p.26699,2022-09-18,4.0
2 Gurleys 1 Kupp,3,Keenan Allen,WR,LAC,BN,Out,Hamstring,414.p.26699,2022-09-26,4.0
2 Gurleys 1 Kupp,4,Keenan Allen,WR,LAC,BN,Out,Hamstring,414.p.26699,2022-10-03,4.0
2 Gurleys 1 Kupp,5,Keenan Allen,WR,LAC,IR,Out,Hamstring,414.p.26699,2022-10-10,4.0
2 Gurleys 1 Kupp,6,Keenan Allen,WR,LAC,BN,Out,Hamstring,414.p.26699,2022-10-18,4.0
Christopher's Perfect Team,2,Mike Evans,WR,TB,WR,Suspended,Disciplinary,414.p.27535,2022-09-21,
Christopher's Perfect Team,3,Mike Evans,WR,TB,BN,Suspended,Disciplinary,414.p.27535,2022-09-26,
Christopher's Perfect Team,1,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-09-14,
Christopher's Perfect Team,2,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-09-21,
Christopher's Perfect Team,3,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-09-28,
Christopher's Perfect Team,4,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-10-05,
Christopher's Perfect Team,5,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-10-12,
Christopher's Perfect Team,6,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-10-19,
Christopher's Perfect Team,5,Teddy Bridgewater,QB,Mia,QB,Questionable,Head,414.p.27560,2022-10-12,2.0
Christopher's Perfect Team,6,Teddy Bridgewater,QB,Mia,BN,Questionable,Head,414.p.27560,2022-10-15,2.0
Toney! Toni! Toné!,5,Damien Williams,RB,Atl,IR,Injured Reserve,Ribs,414.p.28115,2022-10-12,5.0
Toney! Toni! Toné!,6,Damien Williams,RB,Atl,IR,Injured Reserve,Ribs,414.p.28115,2022-10-19,5.0
Lil Uzi Hurts,2,Jameis Winston,QB,NO,QB,Questionable,Back,414.p.28389,2022-09-17,2.0
Lil Uzi Hurts,3,Jameis Winston,QB,NO,BN,Questionable,Back,414.p.28389,2022-09-28,2.0
Lil Uzi Hurts,4,Jameis Winston,QB,NO,BN,Out,Back,414.p.28389,2022-10-03,4.0
Lil Uzi Hurts,5,Jameis Winston,QB,NO,BN,Out,Back,414.p.28389,2022-10-10,4.0
Lil Uzi Hurts,6,Jameis Winston,QB,NO,BN,Questionable,Back,414.p.28389,2022-10-19,2.0
2 Gurleys 1 Kupp,4,Melvin Gordon III,RB,Den,W/R/T,Questionable,Neck,414.p.28403,2022-10-05,2.0
2 Gurleys 1 Kupp,6,Melvin Gordon III,RB,Den,RB,Questionable,Neck,414.p.28403,2022-10-16,2.0
Djeango,6,Tyler Lockett,WR,Sea,W/R/T,Questionable,Hamstring,414.p.28457,2022-10-14,2.0
AndysTeamThatDoesNotInspireAwe,3,Stefon Diggs,WR,Buf,WR,Questionable,,414.p.28534,2022-09-28,2.0
Djeango,5,Darren Waller,TE,LV,TE,Questionable,Hamstring,414.p.28592,2022-10-12,2.0
Djeango,6,Darren Waller,TE,LV,BN,Questionable,Hamstring,414.p.28592,2022-10-19,2.0
Toney! Toni! Toné!,6,Raheem Mostert,RB,Mia,W/R/T,Questionable,Knee,414.p.28654,2022-10-16,2.0
St. Louis Football Team,5,Carson Wentz,QB,Was,BN,Questionable,Shoulder,414.p.29236,2022-10-12,2.0
St. Louis Football Team,6,Carson Wentz,QB,Was,QB,Out,Finger,414.p.29236,2022-10-19,4.0
Running Up That Hill,3,Michael Thomas,WR,NO,W/R/T,Questionable,Foot,414.p.29281,2022-09-28,2.0
Running Up That Hill,4,Michael Thomas,WR,NO,IR,Out,Toe,414.p.29281,2022-10-03,4.0
Running Up That Hill,5,Michael Thomas,WR,NO,IR,Out,Toe,414.p.29281,2022-10-10,4.0
Running Up That Hill,6,Michael Thomas,WR,NO,IR,Out,Toe,414.p.29281,2022-10-18,4.0
AndysTeamThatDoesNotInspireAwe,6,Tyler Higbee,TE,LAR,TE,Questionable,Ankle,414.p.29344,2022-10-16,2.0
St. Louis Football Team,1,Dak Prescott,QB,Dal,QB,Out,Hand,414.p.29369,2022-09-14,4.0
St. Louis Football Team,2,Dak Prescott,QB,Dal,IR,Out,Hand,414.p.29369,2022-09-21,4.0
St. Louis Football Team,3,Dak Prescott,QB,Dal,BN,Out,Thumb,414.p.29369,2022-09-28,4.0
Mac & Chase,4,Dak Prescott,QB,Dal,IR,Out,Thumb,414.p.29369,2022-10-05,4.0
Mac & Chase,5,Dak Prescott,QB,Dal,IR,Out,Thumb,414.p.29369,2022-10-12,4.0
Mac & Chase,6,Dak Prescott,QB,Dal,BN,Out,Thumb,414.p.29369,2022-10-18,4.0
Running Up That Hill,5,Tyreek Hill,WR,Mia,WR,Questionable,Foot,414.p.29399,2022-10-12,2.0
Hit Me With Your Prescott,2,Leonard Fournette,RB,TB,W/R/T,Questionable,Hamstring,414.p.30117,2022-09-17,2.0
Hit Me With Your Prescott,3,Leonard Fournette,RB,TB,RB,Questionable,Hamstring,414.p.30117,2022-09-24,2.0
Lil Uzi Hurts,6,Mike Williams,WR,LAC,WR,Questionable,,414.p.30120,2022-10-13,2.0
Lil Uzi Hurts,4,Christian McCaffrey,RB,Car,RB,Questionable,Quadriceps,414.p.30121,2022-10-01,2.0
2 Gurleys 1 Kupp,1,Deshaun Watson,QB,Cle,BN,Suspended,Disciplinary,414.p.30125,2022-09-14,
2 Gurleys 1 Kupp,2,Deshaun Watson,QB,Cle,BN,Suspended,Disciplinary,414.p.30125,2022-09-21,
2 Gurleys 1 Kupp,3,Deshaun Watson,QB,Cle,BN,Suspended,Disciplinary,414.p.30125,2022-09-28,
2 Gurleys 1 Kupp,4,Deshaun Watson,QB,Cle,BN,Suspended,Disciplinary,414.p.30125,2022-10-05,
2 Gurleys 1 Kupp,5,Deshaun Watson,QB,Cle,BN,Suspended,Disciplinary,414.p.30125,2022-10-12,
2 Gurleys 1 Kupp,6,Deshaun Watson,QB,Cle,BN,Suspended,Disciplinary,414.p.30125,2022-10-19,
2 Gurleys 1 Kupp,5,Curtis Samuel,WR,Was,WR,Questionable,Illness,414.p.30153,2022-10-06,2.0
Toney! Toni! Toné!,3,Dalvin Cook,RB,Min,RB,Questionable,Shoulder,414.p.30154,2022-09-28,2.0
Mac & Chase,5,Gerald Everett,TE,LAC,BN,Questionable,Hamstring,414.p.30157,2022-10-06,2.0
Lil Uzi Hurts,3,Joe Mixon,RB,Cin,RB,Questionable,Ankle,414.p.30161,2022-09-26,2.0
Toney! Toni! Toné!,5,JuJu Smith-Schuster,WR,KC,BN,Questionable,Hamstring,414.p.30175,2022-10-10,2.0
Running Up That Hill,1,Alvin Kamara,RB,NO,RB,Questionable,,414.p.30180,2022-09-14,2.0
Running Up That Hill,2,Alvin Kamara,RB,NO,BN,Out,Ribs,414.p.30180,2022-09-18,4.0
Running Up That Hill,3,Alvin Kamara,RB,NO,RB,Questionable,Ribs,414.p.30180,2022-09-24,2.0
Running Up That Hill,4,Alvin Kamara,RB,NO,BN,Out,Ribs,414.p.30180,2022-10-03,4.0
Running Up That Hill,5,Alvin Kamara,RB,NO,RB,Questionable,Ribs,414.p.30180,2022-10-08,2.0
Hit Me With Your Prescott,6,Cooper Kupp,WR,LAR,WR,Questionable,Foot,414.p.30182,2022-10-16,2.0
2 Gurleys 1 Kupp,1,Chris Godwin,WR,TB,BN,Questionable,Hamstring,414.p.30197,2022-09-14,2.0
2 Gurleys 1 Kupp,2,Chris Godwin,WR,TB,BN,Out,Hamstring,414.p.30197,2022-09-18,4.0
2 Gurleys 1 Kupp,3,Chris Godwin,WR,TB,IR,Out,Hamstring,414.p.30197,2022-09-26,4.0
2 Gurleys 1 Kupp,4,Chris Godwin,WR,TB,BN,Questionable,Hamstring,414.p.30197,2022-10-01,2.0
2 Gurleys 1 Kupp,5,Chris Godwin,WR,TB,W/R/T,Questionable,Knee,414.p.30197,2022-10-06,2.0
2 Gurleys 1 Kupp,6,Chris Godwin,WR,TB,WR,Questionable,Hip,414.p.30197,2022-10-14,2.0
Toney! Toni! Toné!,2,James Conner,RB,Ari,W/R/T,Questionable,Ankle,414.p.30218,2022-09-21,2.0
Toney! Toni! Toné!,3,James Conner,RB,Ari,BN,Questionable,Ankle,414.p.30218,2022-09-24,2.0
Toney! Toni! Toné!,5,James Conner,RB,Ari,W/R/T,Questionable,Ribs,414.p.30218,2022-10-12,2.0
Toney! Toni! Toné!,6,James Conner,RB,Ari,IR,Out,Ribs,414.p.30218,2022-10-18,4.0
Christopher's Perfect Team,1,George Kittle,TE,SF,TE,Questionable,Groin,414.p.30259,2022-09-14,2.0
Christopher's Perfect Team,2,George Kittle,TE,SF,BN,Out,Groin,414.p.30259,2022-09-18,4.0
St. Louis Football Team,1,Harrison Butker,K,KC,K,Questionable,Ankle,414.p.30346,2022-09-14,2.0
St. Louis Football Team,2,Harrison Butker,K,KC,BN,Out,Ankle,414.p.30346,2022-09-18,4.0
Toney! Toni! Toné!,4,Harrison Butker,K,KC,K,Out,Ankle,414.p.30346,2022-10-01,4.0
St. Louis Football Team,4,Noah Brown,WR,Dal,BN,Questionable,,414.p.30352,2022-10-05,2.0
AndysTeamThatDoesNotInspireAwe,3,Taysom Hill,"QB,TE",NO,BN,Out,Ribs,414.p.30614,2022-09-26,4.0
AndysTeamThatDoesNotInspireAwe,6,Taysom Hill,"QB,TE",NO,BN,Questionable,Ribs,414.p.30614,2022-10-13,2.0
St. Louis Football Team,5,Baker Mayfield,QB,Car,BN,Doubtful,Ankle,414.p.30971,2022-10-11,3.0
St. Louis Football Team,6,Baker Mayfield,QB,Car,BN,Out,Ankle,414.p.30971,2022-10-18,4.0
St. Louis Football Team,6,Saquon Barkley,RB,NYG,RB,Questionable,Shoulder,414.p.30972,2022-10-14,2.0
Running Up That Hill,5,Hayden Hurst,TE,Cin,BN,Questionable,Groin,414.p.30995,2022-10-09,2.0
Running Up That Hill,6,Hayden Hurst,TE,Cin,TE,Questionable,Groin,414.p.30995,2022-10-16,2.0
St. Louis Football Team,5,Rashaad Penny,RB,Sea,BN,Out,Leg,414.p.30997,2022-10-12,4.0
Running Up That Hill,4,DJ Chark Jr.,WR,Det,BN,Out,Ankle,414.p.31031,2022-10-03,4.0
Christopher's Perfect Team,1,Michael Gallup,WR,Dal,BN,Questionable,Knee,414.p.31051,2022-09-14,2.0
Christopher's Perfect Team,2,Michael Gallup,WR,Dal,BN,Out,Knee,414.p.31051,2022-09-18,4.0
Christopher's Perfect Team,3,Michael Gallup,WR,Dal,BN,Out,Knee,414.p.31051,2022-09-26,4.0
AndysTeamThatDoesNotInspireAwe,5,Nyheim Hines,RB,Ind,RB,Questionable,Concussion,414.p.31074,2022-10-12,2.0
AndysTeamThatDoesNotInspireAwe,6,Nyheim Hines,RB,Ind,BN,Out,Concussion,414.p.31074,2022-10-18,4.0
Hit Me With Your Prescott,2,Dalton Schultz,TE,Dal,TE,Questionable,Knee,414.p.31107,2022-09-21,2.0
Hit Me With Your Prescott,3,Dalton Schultz,TE,Dal,BN,Out,Knee,414.p.31107,2022-09-26,4.0
Hit Me With Your Prescott,4,Dalton Schultz,TE,Dal,BN,Questionable,Knee,414.p.31107,2022-10-01,2.0
Hit Me With Your Prescott,5,Dalton Schultz,TE,Dal,BN,Questionable,Knee,414.p.31107,2022-10-12,2.0
Hit Me With Your Prescott,6,Dalton Schultz,TE,Dal,BN,Questionable,Knee,414.p.31107,2022-10-19,2.0
Toney! Toni! Toné!,6,Mike Boone,RB,Den,BN,Questionable,,414.p.31228,2022-10-14,2.0
St. Louis Football Team,1,Allen Lazard,WR,GB,BN,Questionable,Ankle,414.p.31268,2022-09-14,2.0
St. Louis Football Team,2,Allen Lazard,WR,GB,W/R/T,Questionable,Ankle,414.p.31268,2022-09-17,2.0
St. Louis Football Team,5,Allen Lazard,WR,GB,BN,Questionable,Ankle,414.p.31268,2022-10-06,2.0
